experiment,pe,config,time_taken_s
exp1,1,1,8.85516
exp1,1,2,8.92904
exp1,1,4,9.07681
exp1,1,8,9.3737
exp1,1,16,9.96346
exp1,1,32,11.1457
exp1,1,64,13.5101
exp1,1,128,18.2388
exp1,1,256,27.6964
exp1,1,512,46.6116
exp1,1,1024,84.4419
exp1,28,1,0.421967
exp1,28,2,0.42238
exp1,28,4,0.422807
exp1,28,8,0.423932
exp1,28,16,0.427007
exp1,28,32,0.441553
exp1,28,64,0.508446
exp1,28,128,0.661543
exp1,28,256,0.990114
exp1,28,512,1.6648
exp1,28,1024,3.01597
exp2,1,1,5.52454
exp2,1,2,5.55865
exp2,1,4,5.62684
exp2,1,8,5.76327
exp2,1,16,6.03607
exp2,1,32,6.58169
exp2,1,64,7.67295
exp2,1,128,9.85549
exp2,1,256,14.2205
exp2,1,512,22.9506
exp2,1,1024,40.4108
exp2,28,1,0.809335
exp2,28,2,0.919259
exp2,28,4,0.884479
exp2,28,8,0.833552
exp2,28,16,0.880668
exp2,28,32,0.893633
exp2,28,64,0.424304
exp2,28,128,0.667481
exp2,28,256,0.508035
exp2,28,512,0.819775
exp2,28,1024,1.44337
exp3,1,1,4.74855
exp3,1,2,4.76406
exp3,1,4,4.79508
exp3,1,8,4.85711
exp3,1,16,4.98116
exp3,1,32,5.22927
exp3,1,64,5.72551
exp3,1,128,6.71796
exp3,1,256,8.70289
exp3,1,512,12.6727
exp3,1,1024,20.6124
exp3,28,1,0.766083
exp3,28,2,0.760017
exp3,28,4,0.767825
exp3,28,8,0.768242
exp3,28,16,0.75814
exp3,28,32,0.766616
exp3,28,64,0.765152
exp3,28,128,0.766427
exp3,28,256,0.766664
exp3,28,512,0.766751
exp3,28,1024,0.777787
