experiment,pe,config,Efficiency
Benchmark 1,28,8,0.9394
Benchmark 1,28,16,0.9699
Benchmark 1,28,32,0.9991
Benchmark 1,28,64,0.9999
Benchmark 1,28,128,1
Benchmark 1,28,256,0.9999
Benchmark 1,28,512,1
Benchmark 2,28,8,0.2722
Benchmark 2,28,16,0.5239
Benchmark 2,28,32,0.9376
Benchmark 2,28,64,0.9967
Benchmark 2,28,128,0.9999
Benchmark 2,28,256,0.9999
Benchmark 2,28,512,0.9999
Benchmark 3,28,8,0.2513
Benchmark 3,28,16,0.5026
Benchmark 3,28,32,0.9822
Benchmark 3,28,64,0.96
Benchmark 3,28,128,0.9974
Benchmark 3,28,256,0.9983
Benchmark 3,28,512,0.9986
