experiment,pe,config,time_taken_s,Efficiency
Benchmark 1,28,32,0.441553,0.9015015509
Benchmark 1,28,64,0.508446,0.948977023
Benchmark 1,28,128,0.661543,0.9846460688
Benchmark 1,28,256,0.990114,0.9990335889
Benchmark 1,28,512,1.6648,0.9999399327
Benchmark 1,28,1024,3.01597,0.9999377125
Benchmark 1,28,2048,5.71826,0.999948286
Benchmark 1,28,4096,11.1229,0.9999479838
Benchmark 2,28,32,0.893633,0.2630390296
Benchmark 2,28,64,0.424456,0.6456120978
Benchmark 2,28,128,0.424022,0.8301018074
Benchmark 2,28,256,0.508035,0.9996850611
Benchmark 2,28,512,0.819775,0.9998649455
Benchmark 2,28,1024,1.44337,0.9999119125
Benchmark 2,28,2048,2.69063,0.9999145182
Benchmark 2,28,4096,5.18516,0.9999140404
Benchmark 3,28,32,0.766616,0.243615634
Benchmark 3,28,64,0.765152,0.2672442861
Benchmark 3,28,128,0.766427,0.3130463082
Benchmark 3,28,256,0.766664,0.4054155406
Benchmark 3,28,512,0.766751,0.5902782371
Benchmark 3,28,1024,0.777787,0.9464765326
Benchmark 3,28,2048,1.3076,0.9966951449
Benchmark 3,28,4096,2.44319,0.9976798483
